premise_code,premise,address,premise_type,state,district
21022.0,ZAIDA MINI MART,"390B,,KEDAI JLN MARAN BT 3,,",Pasar Mini,Pahang,Temerloh
21023.0,99 SPEEDMART SDN BHD (MENTAKAB),"NO. 3 (G),,JALAN HAJI KASSIM,,",Pasar Mini,Pahang,Temerloh
21024.0,KEDAI RUNCIT RAMA ROZIT ENT,"KEDDAI NO 15,TAMAN FERI INDAH,",Kedai Runcit,Pahang,Jerantut
21025.0,FT MINI MARKET,"NO 17 (BAWAH),BGN LKNP,JLN BESAR,BENTA",Pasar Mini,Pahang,Lipis
21026.0,TMG EXPRESS 3000 SDN BHD (CAW BENTONG DESA DAMAI),"LOT. 17-19,JALAN BENTONG-RAUB,MUKIM BENTONG",Pasar Raya / Supermarket,Pahang,Bentong
21027.0,99 SPEEDMART SDN BHD (MEDAN DESA PERTIWI),"NO. P6 & P7 (G),MEDAN DESA PERTIWI,JLN TRAS",Pasar Mini,Pahang,Bentong
21028.0,99 SPEEDMART SDN BHD (BENTONG PRIMA),"NO. P69 (G),JLN PRIMA 2,PUSAT KOMERSIAL BENTONG PRIMA",Pasar Mini,Pahang,Bentong
21029.0,BASNOR FRESH RAUB,"NO 28,TAMAN AMALINA LESTARI,",Pasar Mini,Pahang,Raub
21030.0,99 SPEEDMART SDN BHD (TAMAN AMALINA LESTARI),"NO 2 & 3(GROUND FLOOR),JALAN LESTARI 1,TAMAN AMALINA LESTARI",Pasar Mini,Pahang,Raub
21031.0,VISKA CASH & CARRY,"NO 12,21,PASAR BESAR RAUB,",Kedai Runcit,Pahang,Raub
21032.0,99 SPEEDMART SDN BHD (TAMAN GEMILANG),"NO. P14 A GF,TAMAN GEMILANG,",Pasar Mini,Pahang,Bentong
21033.0,99 SPEEDMART SDN BHD (MAJU INDAH),"GF NO 1 & 2,LORONG MAJU INDAH 1,",Pasar Mini,Pahang,Raub
21034.0,FAMILY GROCER,"NO 8 & 9,JALAN TOH SHAHBANDAR MUDA 5,",Pasar Raya / Supermarket,Perak,Hulu Perak
21035.0,TF VALUE MART (PONTIAN BRANCH),"NO 15-19, PUSAT PERNIAGAAN JUTA,,LORONG ABADI,,JALAN TEO KANG SUI",Pasar Raya / Supermarket,Johor,Pontian
21036.0,PASARAYA ANGKASA,"NO 246 JALAN KLUANG,,TAMAN BUKIT PASIR,",Pasar Raya / Supermarket,Johor,Batu Pahat
21037.0,PASARAYA DIAN PANG CASH & CARRY,"LOT 22040, JP 18,,JALAN PASAR,86400 PARIT RAJA, BATU PAHAT",Pasar Raya / Supermarket,Johor,Batu Pahat
21038.0,ARDA FRESH MART SDN BHD,"40 A, LORONG BERTAM INDAH12,,TAMAN BERTAM INDAH,",Pasar Mini,Pulau Pinang,Seberang Perai Utara
21039.0,DAILY WHOLESALE & RETAIL SDN BHD,"NO 1706-1707 JALAN PADANG BENGGALI,,TELOK AIR TAWAR,",Pasar Mini,Pulau Pinang,Seberang Perai Utara
21040.0,CHOP HUP LEE,"9,11 JALAN RUSA,TAMAN SELAMAT,",Pasar Mini,Pulau Pinang,Seberang Perai Tengah
21041.0,99 SPEED MART SDN BHD (KETAPANG PEKAN),"NO 6 & 7,LRG KETAPANG MUALIM 1,TAMAN KETAPANG MUALIM",Pasar Mini,Pahang,Pekan
21042.0,PASAR MINI MENGKASAR,"NO 250,KAMPUNG MNEGKASAR,",Pasar Mini,Pahang,Pekan
21043.0,ZIETAS FROZEN & MINI MARKET,"NO 1A,TINGKAT BAWAH GERAI MAJLIS DAERAH PEKAN,",Pasar Mini,Pahang,Pekan
21044.0,BNE WARISAN NIAGA,"NO-15817,LORONG 1,TAMAN MENTIGA JAYA,",Kedai Runcit,Pahang,Pekan
21045.0,KEDAI RUNCIT A RAFLEE,"NO 4,5,6,KEDAI PKNP,TAMAN PERAMU JAYA 3,TAMAN PERAMU JAYA",Kedai Runcit,Pahang,Pekan
21046.0,KEDAI RUNCIT SUZILA CHE ABDUL RAHMAN,"NO 6,GERAI PERAMU JAYA,",Kedai Runcit,Pahang,Kuantan
21047.0,YONG SHENG STORE,"NO 4,LORONG LENGKOK KANAN 2,TANAH PUTIH BARU,",Kedai Runcit,Pahang,Kuantan
21048.0,KEDAI RUNCIT SAIDI MUSTAFA,"NO 8,GERAI SAYUR-SAYURAN,PASAR PERAMU BARU",Kedai Runcit,Pahang,Kuantan
21049.0,HAWVA ENTERPRISE (PERMATANG BADAK),"K9 & K11,JALAN PERMATANG BADAK BARU 2,",Pasar Mini,Pahang,Kuantan
21050.0,AZYMART ENTERPRISE,"NO A-43,LORONG IM 15/19,BANDAR INDERA MAHKOTA",Pasar Mini,Pahang,Kuantan
21051.0,HAJI HERMAN MARKET SDN BHD (JALAN MAT KILAU),"NO A15 & A17,JALAN MAT KILAU 1,",Pasar Mini,Pahang,Kuantan
21052.0,TUNAS PUTERI MART (PJ EDARAN),"NO A15,LORONG IM 15/19,BANDAR INDERA MAHKOTA",Pasar Mini,Pahang,Kuantan
21053.0,SIDEK MINI MART,"NO A-11,LORONG IM 14/1,TAMAN MAHKOTA IDAMAN",Pasar Mini,Pahang,Kuantan
21054.0,PASAR MINI KOH YIN,"34,TANAH PUTIH BARU,BT 3,JALAN GAMBANG",Pasar Mini,Pahang,Kuantan
21055.0,99 SPEED MART SDN BHD (TAMAN SHAHZAN IM),"NO B20 & B 22(G),LRG SHAHZAN IM3,TMN SHAHZAN INDERA MAHKOTA",Pasar Mini,Pahang,Kuantan
21056.0,IKHWAN MART,"B600-602 GROUND FLOOR,,TAMAN BANDAR EMAS,JALAN BESERAH",Pasar Mini,Pahang,Kuantan
21057.0,HAJI HERMAN MARKE SDN BHD (CENDERAWASIH),"B-36,LORONG 9,PERKAMPUNGAN CENDERAWASIH",Pasar Mini,Pahang,Kuantan
21058.0,EVERBRIGHT STARS TRADING TAMAN TAS,"NO 24,JALAN TAS 3,TAMAN TAS",Pasar Mini,Pahang,Kuantan
21065.0,YAK GUAN SDN BHD,"PEKAN LUNDU,,94500 LUNDU, SARAWAK,",Pasar Mini,Sarawak,Lundu
21066.0,CHOP SIN SENG,"NO.18,SIMUNJAN,",Kedai Runcit,Sarawak,Simunjan
21067.0,CCK FRESHMART SIMUNJAN BRANCH,"LOT 8, SIMUNJAN BAZAAR,SIMUNJAN,",Kedai Runcit,Sarawak,Simunjan
21068.0,SIN KIAN SENG,"NO.10, PASAR BARU SIMUNJAN,SIMUNJAN,",Kedai Runcit,Sarawak,Simunjan
21070.0,GFRESH MART S/B,"LOT 921 BINATANG TOWN DISTRICT,LOT 274 BINATANG TOWN DISTRICT,",Pasar Raya / Supermarket,Sarawak,Meradong
21071.0,PASARAYA MEMI ZOO ZOO,"G-19 RESEDENSI MAJESTIC MAXIM,,45, JALAN 9, TAMAN LEN SENG,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Bandar Tun Razak
21072.0,AEON BIG (M) SDN BHD,"NO 2929,JALAN KELISA EMAS 1,",Hypermarket,Pulau Pinang,Seberang Perai Tengah
21073.0,PASARAYA ECONO,"NO 1365, 1365A & 1365B,MUKIM 20,KUBANG SEMANG",Pasar Raya / Supermarket,Pulau Pinang,Seberang Perai Tengah
21075.0,PASARAYA LU MIAO ENDAU SDN BHD (TGK 1),"SH21-27,TAMAN TANJUNG GEMOK 1,kampung tanjung gemok",Pasar Raya / Supermarket,Pahang,Rompin
21076.0,TF VALUE MART (GUA MUSANG) SDN. BHD,"PT 3737 JALAN CENGAL,BANDAR UTAMA,GUA MUSANG",Pasar Raya / Supermarket,Kelantan,Gua Musang
21077.0,BILLION SHOPPING CENTRE,"No 7009 jln telaga air,Seksyen 2 Butterworth,Pulau pinang",Pasar Raya / Supermarket,Pulau Pinang,Seberang Perai Utara
21078.0,HERO MARKET ( SUNGAI MAS PLAZA ),"GA 01, SUNGAI MAS PLAZA,,BATU 5, JALAN IPOH.,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Batu
21079.0,TF VALUE MART ( TAMAN CONNOUGHT ),"LOT 11811, JALAN CHERAS.,TAMAN CONNOUGHT,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Bandar Tun Razak
21080.0,VILLAGE GROCER ( EKO CHERAS ),"M-LG-41, EKO CHERAS MALL,,NO 693, BATU 5, JALAN CHERAS,,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Cheras
21081.0,VILLAGE GROCER ( SRI HARTAMAS ),"LOT G-26, GF HARTAMAS SHOPPING CENTRE,,NO 60, JALAN SRI HARTAMAS 1, SRI HARTAMAS,,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Segambut
21082.0,TMG MART ( SRI RAMPAI ),"NO 2, JALAN SRI RAMPAI 3,,SRI RAMPAI BUSINESS PARK,,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Setiawangsa
21083.0,SELECTIONS GROCERIES ( G- VILLAGE ),"NO.01.03 GROUND FLOOR, G VILLAGE,,NO. 35, JALAN DESA PANDAN, DESA PANDAN,,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Titiwangsa
21084.0,SEGI CASH & CARRY ( SETAPAK VILLAGE ),"NO 2079-E, F 7 G, SETAPAK VILLAGE,NO 1617, JALAN GENTING KELANG,,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Wangsa Maju
